Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
157335,Lightning Charging Cable,1,15.25,02/12/21 13:07 ,"249 Sunset St, Memphis, TN 38028"
157336,iPhone,1,999.99,02/25/21 18:55 ,"441 Jackson St, San Francisco, CA 94016"
157336,Apple Watch,1,399.99,02/25/21 18:55 ,"441 Jackson St, San Francisco, CA 94016"
157336,Apple Airpods Headphones,1,129.0,02/25/21 18:55 ,"441 Jackson St, San Francisco, CA 94016"
157337,AAA Batteries (4-pack),1,3.99,02/26/21 06:50 ,"963 2nd St, Phoenix, AZ 85007"
157338,Wired Headphones,1,14.75,02/19/21 10:49 ,"520 Meadow St, Houston, TX "
157339,AA Batteries (4-pack),3,4.75,02/07/21 07:59 ,"727 Wilson St, Houston, TX "
157340,USB-C Charging Cable,1,13.25,02/28/21 15:28 ,"803 Spruce St, San Francisco, CA 94016"
157341,Samsung - Galaxy SS22,1,899.99,02/23/21 23:13 ,"440 8th St, New York City, NY 10001"
157342,Bose SoundSport Headphones,1,119.99,02/24/21 22:27 ,"398 Meadow St, San Francisco, CA 94016"
157343,Lightning Charging Cable,1,15.25,02/27/21 11:39 ,"784 Pine St, Los Angeles, CA 90001"
157344,AA Batteries (4-pack),1,4.75,02/13/21 13:16 ,"614 12th St, Boston, MA 02215"
157345,Macbook Pro Laptop,1,1700.0,02/18/21 21:37 ,"614 Spruce St, Boston, MA 02215"
157346,Bose SoundSport Headphones,1,119.99,02/02/21 19:38 ,"166 1st St, Boston, MA 02215"
157347,Apple Watch,1,399.99,02/11/21 19:25 ,"831 Elm St, San Francisco, CA 94016"
157348,Wired Headphones,1,14.75,02/08/21 18:32 ,"628 Washington St, Atlanta, GA 30301"
157349,Apple Airpods Headphones,1,129.0,02/06/21 22:31 ,"854 Elm St, Boston, MA 02215"
157350,LG Dryer,1,600.0,02/26/21 02:59 ,"250 11th St, Phoenix, AZ 85007"
157351,Lightning Charging Cable,1,15.25,02/06/21 19:51 ,"264 12th St, Los Angeles, CA 90001"
157352,Macbook Pro Laptop,1,1700.0,02/13/21 12:56 ,"392 4th St, Charlotte, NC 28201"
157353,Macbook Pro Laptop,1,1700.0,02/03/21 11:06 ,"296 Ridge St, New York City, NY 10001"
157353,Wired Headphones,1,14.75,02/03/21 11:06 ,"296 Ridge St, New York City, NY 10001"
157353,USB-C Charging Cable,1,13.25,02/03/21 11:06 ,"296 Ridge St, New York City, NY 10001"
157354,Bose SoundSport Headphones,1,119.99,02/05/21 01:21 ,"672 River St, Phoenix, AZ 85007"
157355,34in Ultrawide Monitor,1,379.99,02/28/21 14:06 ,"562 5th St, Houston, TX "
157356,Lightning Charging Cable,1,15.25,02/15/21 13:32 ,"521 Sunset St, San Francisco, CA 94016"
157357,Samsung - Galaxy SS22,1,899.99,02/19/21 14:26 ,"481 Pine St, Los Angeles, CA 90001"
157358,Macbook Pro Laptop,1,1700.0,02/15/21 13:45 ,"853 Chestnut St, San Francisco, CA 94016"
157358,USB-C Charging Cable,1,13.25,02/15/21 13:45 ,"853 Chestnut St, San Francisco, CA 94016"
157359,27in 4K Gaming Monitor,1,389.99,02/28/21 11:59 ,"156 Forest St, San Francisco, CA 94016"
157360,USB-C Charging Cable,1,13.25,02/19/21 10:46 ,"335 5th St, Boston, MA 02215"
157361,27in FHD Monitor,1,149.99,02/24/21 20:27 ,"848 Sunset St, Dallas, TX 73301"
157362,Lightning Charging Cable,1,15.25,02/07/21 11:28 ,"243 Washington St, Los Angeles, CA 90001"
157363,LG Dryer,1,600.0,02/26/21 09:58 ,"281 Dogwood St, Los Angeles, CA 90001"
157364,27in FHD Monitor,1,149.99,02/27/21 09:34 ,"101 10th St, New York City, NY 10001"
157365,Samsung - Galaxy SS22,1,899.99,02/08/21 18:22 ,"203 1st St, New York City, NY 10001"
157366,27in 4K Gaming Monitor,1,389.99,02/03/21 14:42 ,"90 13th St, Boston, MA 02215"
157367,USB-C Charging Cable,1,13.25,02/28/21 01:15 ,"298 Lakeview St, Charlotte, NC 28201"
157368,AA Batteries (4-pack),1,4.75,02/02/21 18:38 ,"612 14th St, San Francisco, CA 94016"
157369,iPad Pro,1,849.99,02/10/21 18:34 ,"283 Madison St, Los Angeles, CA 90001"
157370,USB-C Charging Cable,1,13.25,02/08/21 09:15 ,"42 Hill St, Houston, TX "
157371,AAA Batteries (4-pack),1,3.99,02/19/21 11:06 ,"538 Dogwood St, New York City, NY 10001"
157372,Apple Airpods Headphones,1,129.0,02/12/21 16:57 ,"663 Church St, San Francisco, CA 94016"
157373,Apple Watch,1,399.99,02/22/21 18:48 ,"518 North St, Memphis, TN 38028"
157374,AAA Batteries (4-pack),1,3.99,02/03/21 20:08 ,"517 Cherry St, Boston, MA 02215"
157375,AAA Batteries (4-pack),1,3.99,02/25/21 04:31 ,"730 South St, Miami, FL 77011"
157376,Apple Airpods Headphones,1,129.0,02/03/21 03:30 ,"863 Park St, Los Angeles, CA 90001"
157377,USB-C Charging Cable,1,13.25,02/23/21 05:56 ,"505 Center St, Dallas, TX 73301"
