Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
217419,iPhone,1,999.99,08/22/21 01:12 ,"898 8th St, New York City, NY 10001"
217419,Apple Watch,1,399.99,08/22/21 01:12 ,"898 8th St, New York City, NY 10001"
217419,Apple Airpods Headphones,1,129.0,08/22/21 01:12 ,"898 8th St, New York City, NY 10001"
217420,34in Ultrawide Monitor,1,379.99,08/25/21 21:04 ,"263 8th St, New York City, NY 10001"
217421,Apple Airpods Headphones,1,129.0,08/10/21 10:12 ,"398 Park St, Los Angeles, CA 90001"
217422,AA Batteries (4-pack),1,4.75,08/24/21 12:03 ,"721 Elm St, Boston, MA 02215"
217423,Samsung - Galaxy SS22,1,899.99,08/09/21 01:00 ,"603 14th St, Atlanta, GA 30301"
217424,Apple Watch,1,399.99,08/26/21 19:30 ,"702 Church St, Dallas, TX 73301"
217425,AA Batteries (4-pack),1,4.75,08/30/21 18:54 ,"840 Madison St, Los Angeles, CA 90001"
217426,Wired Headphones,1,14.75,08/26/21 11:22 ,"94 Walnut St, Boston, MA 02215"
217427,Lightning Charging Cable,1,15.25,08/21/21 22:03 ,"700 Center St, Boston, MA 02215"
217428,Lightning Charging Cable,1,15.25,08/20/21 10:36 ,"602 Johnson St, Phoenix, AZ 85007"
217429,Lightning Charging Cable,1,15.25,08/25/21 13:35 ,"374 Pine St, Los Angeles, CA 90001"
217430,20in Monitor,1,109.99,08/17/21 17:07 ,"474 4th St, New York City, NY 10001"
217431,Lightning Charging Cable,1,15.25,08/28/21 23:01 ,"521 Willow St, Charlotte, NC 28201"
217432,USB-C Charging Cable,1,13.25,08/04/21 20:23 ,"628 9th St, Miami, FL 77011"
217433,Macbook Pro Laptop,1,1700.0,08/04/21 14:51 ,"913 1st St, Los Angeles, CA 90001"
217433,USB-C Charging Cable,1,13.25,08/04/21 14:51 ,"913 1st St, Los Angeles, CA 90001"
217434,iPhone,1,999.99,08/27/21 16:42 ,"398 Lee St, Los Angeles, CA 90001"
217434,Apple Watch,1,399.99,08/27/21 16:42 ,"398 Lee St, Los Angeles, CA 90001"
217434,Apple Airpods Headphones,1,129.0,08/27/21 16:42 ,"398 Lee St, Los Angeles, CA 90001"
217435,AAA Batteries (4-pack),1,3.99,08/11/21 19:13 ,"446 Park St, Atlanta, GA 30301"
217436,AAA Batteries (4-pack),1,3.99,08/14/21 10:57 ,"57 Main St, Phoenix, AZ 85007"
217437,AAA Batteries (4-pack),1,3.99,08/30/21 10:18 ,"809 Lakeview St, Los Angeles, CA 90001"
217438,Bose SoundSport Headphones,1,119.99,08/16/21 12:05 ,"971 Madison St, San Francisco, CA 94016"
217439,AA Batteries (4-pack),1,4.75,08/23/21 21:35 ,"50 Jefferson St, Phoenix, AZ 85007"
217440,Bose SoundSport Headphones,1,119.99,08/07/21 08:59 ,"166 1st St, Boston, MA 02215"
217441,Apple Airpods Headphones,1,129.0,08/31/21 17:02 ,"38 6th St, New York City, NY 10001"
217442,Samsung - Galaxy SS22,1,899.99,08/30/21 19:35 ,"295 Adams St, Atlanta, GA 30301"
217443,Wired Headphones,2,14.75,08/26/21 14:38 ,"179 Madison St, Boston, MA 02215"
217444,AA Batteries (4-pack),1,4.75,08/13/21 19:27 ,"415 Pine St, Los Angeles, CA 90001"
217445,AA Batteries (4-pack),1,4.75,08/27/21 08:43 ,"506 Church St, San Francisco, CA 94016"
217446,Bose SoundSport Headphones,1,119.99,08/24/21 09:34 ,"957 10th St, Dallas, TX 73301"
217447,Flatscreen TV,1,800.0,08/30/21 00:16 ,"525 8th St, Los Angeles, CA 90001"
217448,Wired Headphones,1,14.75,08/15/21 13:54 ,"411 7th St, Dallas, TX 73301"
217449,Macbook Pro Laptop,1,1700.0,08/17/21 01:21 ,"117 Adams St, Boston, MA 02215"
217449,Bose SoundSport Headphones,1,119.99,08/17/21 01:21 ,"117 Adams St, Boston, MA 02215"
217449,USB-C Charging Cable,1,13.25,08/17/21 01:21 ,"117 Adams St, Boston, MA 02215"
217450,Wired Headphones,1,14.75,08/27/21 22:52 ,"523 Spruce St, Miami, FL 77011"
217451,AA Batteries (4-pack),1,4.75,08/14/21 13:43 ,"732 Lee St, Houston, TX "
217452,Lightning Charging Cable,1,15.25,08/22/21 12:16 ,"795 7th St, Phoenix, AZ 85007"
217453,Apple Watch,1,399.99,08/26/21 12:25 ,"13 Park St, Phoenix, AZ 85007"
217454,Apple Watch,1,399.99,08/17/21 01:55 ,"741 Willow St, Dallas, TX 73301"
217455,iPad Pro,1,849.99,08/18/21 18:42 ,"740 9th St, Los Angeles, CA 90001"
217456,27in 4K Gaming Monitor,1,389.99,08/11/21 20:05 ,"177 Highland St, San Francisco, CA 94016"
217457,27in FHD Monitor,1,149.99,08/20/21 14:53 ,"776 12th St, Boston, MA 02215"
217458,AAA Batteries (4-pack),1,3.99,08/16/21 08:30 ,"317 Pine St, Boston, MA 02215"
217459,LG Washing Machine,1,600.0,08/31/21 13:18 ,"659 11th St, New York City, NY 10001"
217460,AAA Batteries (4-pack),1,3.99,08/16/21 13:16 ,"584 Cherry St, San Francisco, CA 94016"
217461,Apple Airpods Headphones,1,129.0,08/20/21 23:21 ,"278 Lincoln St, New York City, NY 10001"
217462,34in Ultrawide Monitor,1,379.99,08/13/21 00:04 ,"723 Wilson St, San Francisco, CA 94016"
217463,Lightning Charging Cable,1,15.25,08/17/21 12:59 ,"286 11th St, New York City, NY 10001"
217464,Bose SoundSport Headphones,1,119.99,08/18/21 08:23 ,"432 Jefferson St, Boston, MA 02215"
217465,Bose SoundSport Headphones,1,119.99,08/20/21 21:07 ,"509 Willow St, Phoenix, AZ 85007"
217466,AA Batteries (4-pack),2,4.75,08/06/21 13:26 ,"214 Cherry St, Miami, FL 77011"
217467,USB-C Charging Cable,1,13.25,08/23/21 22:26 ,"430 Madison St, New York City, NY 10001"
217468,Bose SoundSport Headphones,1,119.99,08/06/21 14:31 ,"122 Hill St, Atlanta, GA 30301"
217469,20in Monitor,1,109.99,08/20/21 07:02 ,"946 6th St, New York City, NY 10001"
217470,"Dell - G15 15.6"" FHD Gaming Laptop",1,899.99,08/31/21 06:24 ,"424 4th St, Houston, TX "
217471,27in 4K Gaming Monitor,1,389.99,08/06/21 11:31 ,"521 2nd St, Atlanta, GA 30301"
217472,Macbook Pro Laptop,1,1700.0,08/21/21 18:40 ,"754 Highland St, Atlanta, GA 30301"
217473,Bose SoundSport Headphones,1,119.99,08/23/21 23:23 ,"318 Main St, Atlanta, GA 30301"
217474,Flatscreen TV,1,800.0,08/24/21 10:21 ,"790 Park St, New York City, NY 10001"
217475,Samsung - Galaxy SS22,1,899.99,08/21/21 10:29 ,"258 Pine St, Memphis, TN 38028"
217476,Bose SoundSport Headphones,1,119.99,08/18/21 15:05 ,"196 1st St, Boston, MA 02215"
217477,Bose SoundSport Headphones,1,119.99,08/29/21 15:12 ,"179 Lakeview St, Phoenix, AZ 85007"
217478,34in Ultrawide Monitor,1,379.99,08/17/21 11:30 ,"531 2nd St, Phoenix, AZ 85007"
217479,AA Batteries (4-pack),2,4.75,08/18/21 06:50 ,"925 Chestnut St, Phoenix, AZ 85007"
217480,iPad Pro,1,849.99,08/12/21 17:21 ,"795 Cedar St, San Francisco, CA 94016"
217481,iPhone,1,999.99,08/24/21 20:17 ,"157 Walnut St, Houston, TX "
217482,Apple Airpods Headphones,1,129.0,08/13/21 07:43 ,"161 Cedar St, Houston, TX "
217483,AAA Batteries (4-pack),1,3.99,08/14/21 02:18 ,"551 Lake St, Boston, MA 02215"
217484,AA Batteries (4-pack),1,4.75,08/28/21 21:24 ,"215 South St, San Francisco, CA 94016"
217485,AA Batteries (4-pack),1,4.75,08/13/21 11:09 ,"619 14th St, San Francisco, CA 94016"
217486,27in FHD Monitor,1,149.99,08/06/21 08:15 ,"140 Highland St, Phoenix, AZ 85007"
217487,USB-C Charging Cable,1,13.25,08/10/21 23:17 ,"518 4th St, Dallas, TX 73301"
217488,AA Batteries (4-pack),1,4.75,08/12/21 17:15 ,"516 Adams St, San Francisco, CA 94016"
217489,USB-C Charging Cable,1,13.25,08/14/21 21:08 ,"36 Meadow St, Dallas, TX 73301"
217490,USB-C Charging Cable,1,13.25,08/26/21 20:40 ,"760 Center St, San Francisco, CA 94016"
217491,Apple Watch,1,399.99,08/10/21 21:11 ,"678 Hickory St, New York City, NY 10001"
217492,Apple Airpods Headphones,1,129.0,08/22/21 14:39 ,"416 Jackson St, Atlanta, GA 30301"
217493,Apple Watch,1,399.99,08/29/21 21:09 ,"848 Lakeview St, Atlanta, GA 30301"
217494,AAA Batteries (4-pack),1,3.99,08/05/21 17:19 ,"398 Center St, Phoenix, AZ 85007"
217495,AA Batteries (4-pack),1,4.75,08/02/21 15:46 ,"377 Lincoln St, Charlotte, NC 28201"
217496,ThinkPad Laptop,1,999.99,08/20/21 21:16 ,"683 Lake St, New York City, NY 10001"
217497,AAA Batteries (4-pack),1,3.99,08/24/21 11:29 ,"296 8th St, Phoenix, AZ 85007"
217498,iPad Pro,1,849.99,08/08/21 19:05 ,"428 13th St, Charlotte, NC 28201"
217499,Lightning Charging Cable,1,15.25,08/13/21 12:45 ,"824 Lakeview St, Phoenix, AZ 85007"
217500,Apple Airpods Headphones,1,129.0,08/02/21 20:36 ,"352 West St, Phoenix, AZ 85007"
217501,34in Ultrawide Monitor,1,379.99,08/14/21 10:42 ,"580 Washington St, Miami, FL 77011"
217502,AA Batteries (4-pack),2,4.75,08/16/21 10:07 ,"58 Lakeview St, Phoenix, AZ 85007"
217503,Macbook Pro Laptop,1,1700.0,08/05/21 22:02 ,"503 Cherry St, New York City, NY 10001"
217503,Wired Headphones,1,14.75,08/05/21 22:02 ,"503 Cherry St, New York City, NY 10001"
217503,USB-C Charging Cable,1,13.25,08/05/21 22:02 ,"503 Cherry St, New York City, NY 10001"
217504,Bose SoundSport Headphones,1,119.99,08/22/21 10:51 ,"56 Washington St, New York City, NY 10001"
217505,AAA Batteries (4-pack),1,3.99,08/30/21 19:30 ,"387 Lee St, New York City, NY 10001"
217506,Apple Airpods Headphones,1,129.0,08/01/21 15:34 ,"93 Lake St, Houston, TX "
217507,Lightning Charging Cable,1,15.25,08/08/21 17:59 ,"29 Wilson St, Phoenix, AZ 85007"
217508,Apple Airpods Headphones,1,129.0,08/13/21 22:19 ,"338 Chestnut St, Boston, MA 02215"
217509,27in 4K Gaming Monitor,1,389.99,08/07/21 17:59 ,"520 Cherry St, Phoenix, AZ 85007"
217510,LG Dryer,1,600.0,08/17/21 11:37 ,"646 Lakeview St, New York City, NY 10001"
217511,Bose SoundSport Headphones,1,119.99,08/22/21 18:42 ,"999 Johnson St, Houston, TX "
217512,USB-C Charging Cable,1,13.25,08/12/21 22:08 ,"631 River St, Atlanta, GA 30301"
217513,Lightning Charging Cable,1,15.25,08/17/21 12:37 ,"460 Ridge St, San Francisco, CA 94016"
217514,USB-C Charging Cable,1,13.25,08/12/21 09:34 ,"887 Jackson St, San Francisco, CA 94016"
217515,AAA Batteries (4-pack),1,3.99,08/09/21 07:29 ,"427 Washington St, Dallas, TX 73301"
217516,34in Ultrawide Monitor,1,379.99,08/14/21 17:19 ,"204 Highland St, San Francisco, CA 94016"
217517,AA Batteries (4-pack),3,4.75,08/10/21 16:29 ,"873 Chestnut St, Memphis, TN 38028"
217518,Lightning Charging Cable,1,15.25,08/24/21 11:26 ,"11 Walnut St, San Francisco, CA 94016"
217519,AAA Batteries (4-pack),1,3.99,08/30/21 20:36 ,"681 Hill St, Los Angeles, CA 90001"
217520,Lightning Charging Cable,1,15.25,08/21/21 09:33 ,"871 12th St, Boston, MA 02215"
217521,AAA Batteries (4-pack),1,3.99,08/16/21 22:00 ,"409 Hickory St, Miami, FL 77011"
217522,27in FHD Monitor,1,149.99,08/29/21 22:18 ,"926 Hill St, Phoenix, AZ 85007"
217523,Apple Watch,1,399.99,08/21/21 20:39 ,"189 Highland St, Phoenix, AZ 85007"
217524,USB-C Charging Cable,1,13.25,08/24/21 07:53 ,"190 Main St, Phoenix, AZ 85007"
217525,34in Ultrawide Monitor,1,379.99,08/16/21 10:47 ,"645 Jackson St, Atlanta, GA 30301"
217526,USB-C Charging Cable,1,13.25,08/15/21 18:03 ,"772 Jefferson St, Boston, MA 02215"
217527,AAA Batteries (4-pack),2,3.99,08/14/21 01:33 ,"531 12th St, Miami, FL 77011"
217528,"Dell - G15 15.6"" FHD Gaming Laptop",1,899.99,08/27/21 09:19 ,"364 Washington St, Boston, MA 02215"
217529,Flatscreen TV,1,800.0,08/29/21 19:27 ,"923 Main St, Los Angeles, CA 90001"
217530,AAA Batteries (4-pack),3,3.99,08/22/21 20:47 ,"253 Madison St, Atlanta, GA 30301"
